Player	Pos	Squad	Gls
Ronaldo	FW	br Brazil	8
Miroslav-Klose	FW	de Germany	5
Rivaldo	FWMF	br Brazil	5
Jon-Dahl-Tomasson	FWMF	dk Denmark	4
Christian-Vieri	FW	it Italy	4
Michael-Ballack	MF	de Germany	3
Robbie-Keane	FW	ie Republic of Ireland	3
Henrik-Larsson	FW	se Sweden	3
Ilhan-Mansiz	FW	tr Turkey	3
Fernando-Morientes	FW	es Spain	3
Pauleta	FW	pt Portugal	3
Raul	FW	es Spain	3
Marc-Wilmots	FWMF	be Belgium	3
Jared-Borgetti	FW	mx Mexico	2
Papa-Bouba-Diop	DFMF	sn Senegal	2
Henri-Camara	FW	sn Senegal	2
Nelson-Cuevas	FW	py Paraguay	2
Umit-Davala	DFMF	tr Turkey	2
Landon-Donovan	FWMF	us United States	2
Ronald-Gomez	FW	cr Costa Rica	2
Fernando-Hierro	DFMF	es Spain	2
Junichi-Inamoto	MF	jp Japan	2
Ahn-Jung-hwan	FWMF	kr Korea Republic	2
Brian-McBride	FW	us United States	2
Michael-Owen	FW	eng England	2
Ronaldinho	FWMF	br Brazil	2
Hasan-Sas	MF	tr Turkey	2
Milenko-Acimovic	MF	si Slovenia	1
Julius-Aghahowa	FW	ng Nigeria	1
Niclas-Alexandersson	MF	se Sweden	1
Francisco-Arce	DF	py Paraguay	1
Gabriel-Batistuta	FW	ar Argentina	1
David-Beckham	MF	eng England	1
Emre-Belozoglu	MF	tr Turkey	1
Vladimir-Beschastnykh	FWMF	ru Russia	1
Beto	DF	pt Portugal	1
Oliver-Bierhoff	FW	de Germany	1
Cuauhtemoc-Blanco	FW	mx Mexico	1
Marco-Bode	FWMF	de Germany	1
Raouf-Bouzaiene	DFMF	tn Tunisia	1
Gary-Breen	DF	ie Republic of Ireland	1
Sol-Campbell	DFFW	eng England	1
Juan-Carlos-Valeron	MF	es Spain	1
Roberto-Carlos	DF	br Brazil	1
Song-Chong-gug	DFMF	kr Korea Republic	1
Sebastjan-Cimirotic	FW	si Slovenia	1
Rui-Costa	MF	pt Portugal	1
Hernan-Crespo	FW	ar Argentina	1
Alessandro-Del-Piero	FWMF	it Italy	1
Agustin-Delgado	FW	ec Ecuador	1
Salif-Diao	MF	sn Senegal	1
Damien-Duff	FWMF	ie Republic of Ireland	1
Edmilson	DFMF	br Brazil	1
Samuel-Etoo	FW	cm Cameroon	1
Lee-Eul-yong	MF	kr Korea Republic	1
Khalilou-Fadiga	MF	sn Senegal	1
Rio-Ferdinand	DF	eng England	1
Diego-Forlan	FWMF	uy Uruguay	1
Quinton-Fortune	MF	za South Africa	1
Emile-Heskey	FW	eng England	1
Matt-Holland	MF	ie Republic of Ireland	1
Carsten-Jancker	FW	de Germany	1
Park-Ji-sung	MF	kr Korea Republic	1
Junior	DFMF	br Brazil	1
Valeri-Karpin	MF	ru Russia	1
Seol-Ki-hyeon	FWMF	kr Korea Republic	1
Bulent-Korkmaz	DF	tr Turkey	1
Pawel-Kryszalowicz	FW	pl Poland	1
Thomas-Linke	DF	de Germany	1
Jorge-Luis-Campos	MF	py Paraguay	1
Patrick-MBoma	FW	cm Cameroon	1
Pape-Malick-Diop	DFMF	sn Senegal	1
Clint-Mathis	FWMF	us United States	1
Benni-McCarthy	FW	za South Africa	1
Edison-Mendez	MF	ec Ecuador	1
Gaizka-Mendieta	MF	es Spain	1
Teboho-Mokoena	MF	za South Africa	1
Richard-Morales	FW	uy Uruguay	1
Hiroaki-Morishima	FWMF	jp Japan	1
Hidetoshi-Nakata	MF	jp Japan	1
Oliver-Neuville	FW	de Germany	1
Siyabonga-Nomvethe	FWMF	za South Africa	1
John-OBrien	DFMF	us United States	1
Ivica-Olic	FW	hr Croatia	1
Emmanuel-Olisadebe	FW	pl Poland	1
Winston-Parks	FW	cr Costa Rica	1
Lucas-Radebe	DFGK	za South Africa	1
Milan-Rapaic	FWMF	hr Croatia	1
Alvaro-Recoba	FWMF	uy Uruguay	1
Dario-Rodriguez	DF	uy Uruguay	1
Dennis-Rommedahl	FWMF	dk Denmark	1
Yoo-Sang-chul	MF	kr Korea Republic	1
Roque-Santa-Cruz	FW	py Paraguay	1
Bernd-Schneider	DFMF	de Germany	1
Wesley-Sonck	FW	be Belgium	1
Hakan-Sukur	FW	tr Turkey	1
Hwang-Sun-hong	FW	kr Korea Republic	1
Takayuki-Suzuki	FWMF	jp Japan	1
Anders-Svensson	MF	se Sweden	1
Dmitri-Sychev	FWMF	ru Russia	1
Yegor-Titov	FWMF	ru Russia	1
Gerardo-Torrado	MF	mx Mexico	1
Peter-Van-der-Heyden	DF	be Belgium	1
Johan-Walem	MF	be Belgium	1
Paulo-Wanchope	FW	cr Costa Rica	1
